channel,campaign_id,campaign_name,spend,impressions,clicks,ctr,avg_session_duration,engagement_score
Email,CAMP004,Holiday Promo,1947.866388559178,6970,400,0.05738880918220947,126,0.8138540265357089
Paid Social,CAMP005,New Product Launch,1137.735721039841,26951,763,0.028310637824199472,170,0.8100363779642568
Search Ads,CAMP001,Summer Launch,1693.6910575337004,14446,1055,0.07303059670497024,216,0.5758374398663756
Organic Social,CAMP002,Retention Boost,1072.8217898275352,37154,3412,0.09183398826505894,145,0.8570320411118071
SMS,CAMP003,Awareness Blast,1583.1481639664155,48872,1041,0.021300540186609918,200,0.5553158684776036
Display,CAMP004,Holiday Promo,2570.066416856651,11359,868,0.07641517739237609,74,0.8986476828897768
Email,CAMP005,New Product Launch,619.7687965765665,19382,1065,0.054947889794654835,232,0.8600182682730372
Paid Social,CAMP001,Summer Launch,1995.2133720788324,44666,3225,0.07220257018761474,85,0.6258995294534764
Search Ads,CAMP002,Retention Boost,1167.9487818109744,17298,1997,0.11544687247080587,163,0.7916958973830602
Organic Social,CAMP003,Awareness Blast,1322.3839669381916,5814,242,0.04162366701066392,166,0.5766757015580402
SMS,CAMP004,Holiday Promo,1841.4435296470322,49241,3804,0.07725269592412827,170,0.8630477930312004
Display,CAMP005,New Product Launch,1860.2961347247003,44915,3241,0.07215852165200935,127,0.8950423185620433
Email,CAMP001,Summer Launch,264.463293405385,5126,137,0.026726492391728442,151,0.687217684860211
Paid Social,CAMP002,Retention Boost,392.9803102282126,25530,2323,0.09099099099099099,99,0.9202198159902115
Search Ads,CAMP003,Awareness Blast,2749.9213551159964,39560,888,0.0224469160768453,208,0.5827602551836448
Organic Social,CAMP004,Holiday Promo,721.6984625835379,24256,1128,0.046503957783641164,114,0.6136978104385563
SMS,CAMP005,New Product Launch,1902.1043026239242,16694,267,0.015993770216844377,196,0.6027899041878187
Display,CAMP001,Summer Launch,2405.8116884005785,37409,1746,0.04667326044534738,122,0.7072522921018138
Email,CAMP002,Retention Boost,2617.8507937162794,12973,623,0.04802281661913204,221,0.9592273624696506
Paid Social,CAMP003,Awareness Blast,1843.7910275823883,46914,2803,0.059747623310738796,238,0.6241132213785759
Search Ads,CAMP004,Holiday Promo,1817.3694714563321,10299,577,0.05602485678221186,147,0.6557365855663787
Organic Social,CAMP005,New Product Launch,2385.3879811290453,9757,333,0.03412934303576919,173,0.8317686860083553
